Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score
Rapala Trophies,PSP,2006.0,Sports,Activision,0.04,0.0,0.0,84.0
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.3,1.34,1.27,84.0
Robots,PS2,2005.0,Action,Vivendi Games,0.18,0.14,0.0,53.0
Hamster Club 3,GBA,2002.0,Simulation,Jorudan,0.0,0.0,0.35,69.0
Formula 1 06,PS2,2006.0,Racing,Sony Computer Entertainment,0.0,0.0,0.04,69.0
My Ballet Studio,Wii,2009.0,Simulation,505 Games,0.02,0.0,0.0,69.0
EVE Online,PC,2003.0,Role-Playing,CCP,0.0,0.19,0.0,69.0
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007.0,Shooter,THQ,0.01,0.04,0.0,82.0
Madden NFL 2003,XB,2002.0,Sports,Electronic Arts,0.67,0.02,0.0,92.0
Shin Super Robot Taisen,PS,1996.0,Role-Playing,Banpresto,0.0,0.0,0.52,78.0
Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,0.62,0.56,0.0,78.0
Pro Yaky? Spirits 2012,PSV,2012.0,Sports,Konami Digital Entertainment,0.0,0.0,0.06,43.0
Devil's Third,WiiU,2015.0,Action,Nintendo,0.04,0.02,0.0,43.0
Space Chimps,PS2,2008.0,Platform,Brash Entertainment,0.06,0.05,0.0,53.0
Blades of Time,PS3,2012.0,Action,Konami Digital Entertainment,0.04,0.03,0.01,53.0
Cold Winter,PS2,2005.0,Shooter,Vivendi Games,0.06,0.04,0.0,73.0
Robot Alchemic Drive,PS2,2002.0,Action,Enix Corporation,0.03,0.03,0.0,79.0
Astro Boy,PS2,2004.0,Action,Sega,0.04,0.03,0.0,54.0
ESPN NBA Basketball,PS2,2003.0,Sports,Sega,0.26,0.21,0.0,89.0
Akiba's Trip: Undead & Undressed,PS3,2013.0,Action,Nippon Ichi Software,0.05,0.01,0.04,68.0
Dream C Club Zero,X360,2011.0,Simulation,D3Publisher,0.0,0.0,0.03,68.0
Kingdom Hearts Re: Chain of Memories,PS2,2008.0,Role-Playing,Square Enix,0.73,0.03,0.0,68.0
Virtua Tennis 2009,X360,2009.0,Sports,Sega,0.12,0.18,0.0,70.0
Legend of Kay Anniversary,PS4,2015.0,Action,Nordic Games,0.0,0.02,0.0,62.0
Crash Bandicoot: The Huge Adventure,GBA,2002.0,Platform,Universal Interactive,0.95,0.7,0.0,78.0
PDC World Championship Darts 2009,Wii,2009.0,Sports,Oxygen Interactive,0.0,0.01,0.0,66.0
Dengeki Bunko Fighting Climax,PS3,2014.0,Fighting,Sega,0.05,0.0,0.09,66.0
Ratatouille,PSP,2007.0,Action,THQ,0.22,0.27,0.0,64.0
Call of Duty: Ghosts,XOne,2013.0,Shooter,Activision,1.88,0.77,0.0,78.0
Super Famista 3,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.39,89.0
Tiger Woods PGA Tour 2004,PS2,2003.0,Sports,Electronic Arts,1.18,0.34,0.0,89.0
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.11,46.0
Virtual Chess 64,N64,1998.0,Misc,Titus,0.05,0.01,0.0,46.0
wwe Smackdown vs. Raw 2006,PS2,2009.0,Fighting,Electronic Arts,1.57,1.02,0.0,46.0
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009.0,Strategy,Electronic Arts,0.14,0.15,0.0,46.0
Cabela's North American Adventures,PS2,2010.0,Sports,Activision,0.04,0.03,0.0,46.0
My Street,PS2,2003.0,Misc,Sony Computer Entertainment,0.12,0.09,0.0,46.0
