description,country,variety
Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk off-dry wine. It's fruity and fresh with an elegant sprightly footprint.,Germany,Gewürztraminer
Zesty orange peels and apple notes abound in this sprightly mineral-toned Riesling. Off dry on the palate yet racy and lean it's a refreshing easy quaffer with wide appeal.,Germany,Riesling
Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.,Germany,Riesling
Pronounced dust pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.,Germany,Riesling
Crisp pristine peach and apricot notes resonate through the nose and palate of this fresh blossomy dry Riesling. While zesty and lithe in body ripe grapefruit and melon flavors feel supple and silky on the palate. Drink now through 2019.,Germany,Riesling
Approachably fruity yet nuanced and electrifying there's exceptional value here. High-intensity flavors of tangerine and stone fruit sweeten the palate balanced by nerve-tingling acidity and deep ripples of slate salt and honeycomb. It's an intensely zesty wine but the finish has length and power.,Germany,Riesling
Fresh and fragrant of blossoms tart yellow peach and apricot this off-dry Riesling maintains a crystalline fruit purity that persists throughout Fritz Haag's wines. It's invigorating and irresistably quaffable. The long melon-rind finish is lip smacking.,Germany,Riesling
Just a touch of honey-lemon sweetness is enough to make this zesty citrus-focused Riesling lip smackingly delicious. Fresh green herb and lime notes reverberate through a strong finish. Drinks well now but should meld nicely over the next five years.,Germany,Riesling
Dusty saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken it finishes on a long lingering whisper of honey and peach.,Germany,Riesling
Whiffs of white mushroom saffron and caramel lend complexity to this concentrated elixir of apricots and orange peels. It's honeyed and sweet but vivaciously balanced glazing the palate in ethereal textures of gossamer and tulle. The caramel finish lingers endlessly.,Germany,Riesling
Intensely fragrant this honey-sweet auslese wafts of ripe yellow peaches and caramelized sugar. Tropical mango pineapple and melon collide on the palate before falling neatly in line against a strike of high-toned acidity. The finish is luxuriously long peppered by a faint dusting of saffron. It's a stunner already but should shine brightly for decades to come.,Germany,Riesling
Richly textured and unabashedly full in body this dry Riesling is intensely ripe. Pineapple and peach flavor is accented by zesty lime peel and earthy tones of wet stone and lanolin. The midpalate is lifted by a whiff of violet perfume and bold lemon-lime acidity envigorates the finish.,Germany,Riesling
The nose of this powerfully fruity yet dry Riesling packs a punch with aromas of ripe pineapple apricot and floral potpourri. The palate is dense with stone fruit and a hint of red berry flavor but finishes elegantly with sleek mineral tones.,Germany,Riesling
Lanolin and honeycomb notes lend a minerally feel to rich lusciously concentrated peach and tangerine flavors in this powerful yet finely structured kabinett. A hint of spritz and shocking lemon-lime acidity lead the way to a long elegant finish.,Germany,Riesling
A surprising whiff of black currant on the nose of this elegant white points to Scheurebe—one of Germany's lesser-known grapes. Wittmann's version is particularly poised offering loads of peach and grapefruit flavors sharply contrasted by zesty lime and mineral tones. The finish is long and sleek touched by a hint of bee pollen.,Germany,Scheurebe
Fresh green apple and grapefruit aromas are bolstered on the palate of this dry elegantly balanced Riesling. It's light bodied yet delightfully creamy. A kiss of tangerine zest marks its moderately long finish.,Germany,Riesling
A spray of rose petals perfumes this aromatic spätlese. Its freshness is exhilarating contrasting lavish layers of honey and marmalade against the sharp bites of pineapple tangerine and lemon. Cutting and spry yet deeply penetrating it finishes on a lingering pollen note.,Germany,Riesling
Fragrant notes of tangerine and yuzu peel abound on this citrusy dry Riesling. The palate is cutting and fresh full of juicy white grapefruit and lime flavors. Light bodied yet satisfyingly thirst quenching it finishes long with invigorating minerality.,Germany,Riesling
White blossom perfume accents notes of fresh lemon lime and green melon in this aromatic Silvaner. While dry in style it's refreshingly juicy on the palate bursting with pristine citrus flavor tinged by edges of lime and lemon pith. Mouth filling and rich in texture it clings lusciously through a long finish.,Germany,Silvaner
A dusting of crushed slate and saffron accents this zesty lime and honey kissed Kabinett. It's dancingly light on the palate but concentrated with swirls of marmalade and orange-peel flavors that extend through a long finish. Drink now through 2025.,Germany,Riesling
Quite rare in the U.S. market this ripe richly berried wine is an excellent example of Frühburgunder an early ripening mutation of Pinot Noir. Blackberry and plum flavors are fleshy and rich offset by soft sunny acidity and a supple silken mouthfeel. It's just faintly tannic and approachable now.,Germany,Früburgunder
Whiffs of smoke and nuts mingle into tart tangerine and lime flavors in this refreshing off-dry Riesling. Juicy and fresh it's a straightforward revitalizing sip. Drink now through 2018.,Germany,Riesling
Despite weighing in at 12% alcohol this seems light in body and sweet in style with honeyed pineapple aromas and flavors of apple skin and lime. Finishes stridently with a dusty texture.,Germany,Riesling
Whiffs of sugar cookies and raspberries entice on this consistently pleasing bargain buy. Fruity and floral and a just shade off dry its an easygoing wine but with a depth beyond what one might presume from its cheeky packaging. Finishes on a lingering white peach note.,Germany,Riesling
This medium-bodied dry white is prettily aromatic showing hints of orange blossom pineapple and pear upfront then building on the base of fruit with hints of wet stones and a dry almost chalky finish.,Germany,Pinot Blanc
Pretty standard dry Riesling but done well marrying bold fruit aromas of apple pear and melon with undercurrents of spice and minerality. It's medium-bodied harmonious and shows excellent persistence on the finish.,Germany,Riesling
Silvaners rarely boast this kind of charm and forward fruit. This one combines apple and citrus notes into a round yet crisp package with overtones of pineapple. This should make a refreshing summer sipper.,Germany,Silvaner
Layers of rich white peach and pink grapefruit sweeten this delightfully piercing spätlase. It's dainty in mouthfeel but sumptuously ripe balanced by a bracing strike of acidity.,Germany,Riesling
Taut and cool with swathes of fresh tarragon and crisp melon rind this elegant dry Riesling has a nervous vitality throughout. The palate is zesty and bright highlighting tart flavors of tangerine and apricot before fading into a dusty mineral finish.,Germany,Riesling
Spine-tingling acidity runs throughout this off-dry Riesling. Swathes of honey and fresh apple saffron and dried berries lend sweetness and warmth but this striking kabinett does not surrender its sharp edges easily.,Germany,Riesling
Crisp cutting lime and lemon lend verve to crisp green apple and pear flavors in this fruity fresh Riesling. It's approachable and refreshing slicked with subtle honey and spice tones. The finish is brisk and clean.,Germany,Riesling
Flavors of pressed apple and pears are uncomplicated but pleasing in this sprightly off-dry Riesling. While delicately framed it's punchy and penetrating finishing with a lingering apple-cider sweetness. Drink now through 2017.,Germany,Riesling
Aromas of pressed apples and pears turn fleshier and riper on the palate of this forward concentrated Riesling. Sumptuous peach and apricot flavors amass a honeyed sweetness on the midpalate balanced neatly by squirts of tangerine acidity. It's an approachable fruity wine to drink now through 2017.,Germany,Riesling
Initial whiffs of smoke and struck flint fade into pretty pineapple and blossom on the nose of this full-bodied dry Riesling. Mango and tangerine flavors are riper and heftier on the palate than in many of the Mosel's 2015 Grosses Gewächs wines neatly balanced by racy acidity and a backbone of cool steel. It's delicious already but likely to evolve well through the 2020s at least.,Germany,Riesling
An atypically light delicate style of Riesling for the Pfalz with lime and floral notes on the nose and a filigreed interplay of residual sugar and lithe acidity that lingers on the finish.,Germany,Riesling
Verging on orange in color this intensely botrytized wine from one of Germany's unique grape varieties is thick almost chewy with extract and sugar. Dried apricot aromas lead into orange marmalade flavors with an almost burnt caramelized quality. Finishes long with a hint of bitterness that helps balance some of the intense sweetness.,Germany,Rieslaner
Aromas of peach lime and mineral make a first-rate initial impression and are then followed by zesty citrus flavors that enhance rather than overpower the briny minerality. It's 13% alcohol but maintains a wonderful balance of alcohol acid and just a hint of sugar. Long and mouthwatering on the finish.,Germany,Riesling
This broad mouthfilling dry Riesling features powerful flavors of baked apple and dried spices uplifted and amplified by oily minerally accents. It's just a touch off-dry balanced on the finish by crisp acids and pronounced minerality.,Germany,Riesling
The relatively low residual sugar in this wine gives it a leaner feel than Mosbacher's other 2007s but the fruit comes through as lime grapefruit and passion fruit marked by Forst's prominent minerality. Very crisp and long; would pair well with many seafood dishes.,Germany,Riesling
Exquisitely smoky and savory dried herb tones calibrate rich tropical fruit aromas on this dry yet voluptuously textured Riesling. The palate is penetrating with minerality and a soft elegant lemon-lime acidity. Finishes long and rich.,Germany,Riesling
Wet stone and earth notes add a distinct minerality to intensely fruity peach and apricot flavors on this ripe but dainty Riesling. Zippy acidity and a flurry of fresh green herbs make for a brisk finish.,Germany,Riesling
Whiffs of slate and petrol add nuance to white flower and pineapple aromas on this intensely minerally dry Riesling. The palate is lush and full with ripe nectarine flavor freshened with a swathe of fresh green herbs on the finish.,Germany,Riesling
Tantalizing spice notes mix with aromas of quince and lanolin on this fabulous bargain Riesling. While intensely tropical on the palate it's remarkably nuanced with hints of potpourri white flowers and a sharp steely acidity. Perfect as an aperitif or paired with spicy herbaceous Asian cuisine.,Germany,Riesling
Dust and pollen notes linger from nose to finish on this dry full-bodied Riesling. Apple and pear flavors are a tad savory but brightened by crisp lemon acidity. A refreshing and easy drinking wine.,Germany,Riesling
Superbly warm weather in 2015 gave an extra boost of sunshine to many of the Mosel's entry-level wines and the RK is one of the best. Whiffs of freesia and tangerine peel waft from the glasss of this semidry Riesling. It's low in alcohol yet so honeyed and ripe that flavors of grapefruit and peach seem to slick sumptuously on the palate. Zesty lime acidity freshens a lingering finish.,Germany,Riesling
Whiffs of candlestick and honeycomb lend subtlety to zesty white-grapefruit and honeydew flavors in this dry Riesling. While rich round and supple in mouthfeel it's balanced squarely by acidity and a pleasant bite of lemon zest.,Germany,Riesling
Dark shades of smoked nuts char and dried savory herbs mingle amidst ruddy black cherry and cranberry flavors in this bold intensely structured Pinot Noir. It's a big richly textured wine enveloping the palate in folds of dense black fruit. Fine but slightly bitter tannins mark the finish.,Germany,Pinot Noir
Electric lemon-lime acidity reverberates throughout this light-bodied Riesling. The palate is fruity pulsing with sweet fresh peach apricot and tangerine flavors. The finish lingers on a delicately lacy sweetness.,Germany,Riesling
Dusty minerals pollen and spice notes lend complexity to this honey-toned auslese. The palate is decadently sweet glazed in caramelized sugar and heaving with ripe cantaloupe and peach flavors. A bite of lemon-lime acidity offsets all the opulence lending edge to a long lingering finish.,Germany,Riesling
Layers of exotic spice and crushed earth permeate through this dry Riesling paying just homage to it's red-clay origins in Ürziger Würzgarten the spice garden of the Mosel. It's exquisitely light bodied a revitalizing crush of cutting white grapefruit and lime flavors. The finish is marked by a meandering spray of spice and honey. Drinks well now but should improve through at least 2030.,Germany,Riesling
Loosen's Grosses Gewächs bottling from old vines is plump custardy and slightly sweet-tasting buoyed by ample ripe apple and peach flavors and tinged with hints of lime fern fronds and crushed stone. It might well have been more impressive served in a different (sweeter) flight; in this context it seemed slightly soft.,Germany,Riesling
A nuanced touch of residual sugar softens the edges of this zesty light-footed Riesling. Its sweet-tart lemon and lime flavors are thirst-quenching and crisp. Touches of crushed minerals and nuts mark its brisk finish.,Germany,Riesling
There's an intense punch of sweet yellow peach on this lip-smackingly delicious Spätlese. Hints of savory spice and struck flint and a deep rippling minerality adds complexity and depth through the finish.,Germany,Riesling
Pristine peach tangerine and blossom notes form the core of this fragrant fruity Riesling. Balanced in sweetness and reverberating with acidity it's an exceptional value for such a juicy satisfying sip. Capture its youthful exuberance now through 2020.,Germany,Riesling
Earthy notes of pollen accent robust yellow peach and quince in this medium-sweet Kabinett. Fine brisk texture and scintillating acidity lend a lacy fragile feel to the palate. The finish lingers sweetly.,Germany,Riesling
