description,country,variety
Baked plum molasses balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents while the finish is mildly green in flavor with respectable weight and balance.,Argentina,Malbec
Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.,Argentina,Malbec
With attractive melon and other tropical aromas this is a Torrontés that rises above the masses. It smells great and tastes like a pure blend of lychee fruit tangerine and honeydew melon. The palate feel is smooth and round and the finish is dry clean and healthy. It's everything that Torrontés should be. Drink now.,Argentina,Torrontés
Blackberry and road-tar aromas are dark and stout. This is moderately tannic and a bit rough and jagged on the palate. Flavors of stewed black plum and prune are ripe almost to an extreme and that's how it finishes as well.,Argentina,Malbec
Meaty and rubbery but that's young Bonarda. This is a sound wine with dark berry flavors raisin and pulsing acidity. Still there's modest roundness to the palate and length to the finish. Overall it's tasty full and borderline raisiny. Drink now.,Argentina,Bonarda
Not exactly a world-class white wine but at least it smells and tastes like Chardonnay. The nose offers some butter and lemon curd while the palate is jumpy and tastes like a mix of pear apple and spice. A fresh young wine that should be drunk soon.,Argentina,Chardonnay
Huge in color and extract but also a little childish. The nose has gumball berry jam and a touch of volatility but after things settle it rests on bold black fruit. It's not overly rich or sweet and the feel is sort of sinewy. Seems more about size and color than refinement and polish.,Argentina,Malbec
A blend of 50% Malbec with Cabernet Syrah and Merlot that's lightly minty and full of tobacco pepper and spicy aromas. Feels a bit clampy and tannic with oaky herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish.,Argentina,Red Blend
For an under-$15 red blend Corte has it going on. It's rich and full almost syrupy on the nose with lots of oak ink and vanilla. Shows power and packs a punch with dark berry chocolate and spicy flavors. A little tannic and scratchy but with structure and framework to spare. Malbec (80%) with Bonarda and Petit Verdot.,Argentina,Red Blend
Leather berry earth raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth with active raspberry plum and coffee flavors that comes with a roasted accent. Mildly leafy baked and woody on the thorough finish.,Argentina,Red Blend
A medium-weight Cabernet with plum prune tobacco and herb aromas. Features average weight and body with a creamy texture and layered flavors of black fruit raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.,Argentina,Cabernet Sauvignon
This huge Malbec defines jammy and concentrated. The bouquet is ripe soft and minty while the palate echoes the nose with thickness and density. Flavors of prune raisin tea and blackberry are borderline syrupy while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.,Argentina,Malbec
Deep lush aromas of black fruits graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth with elegance and power. Flavors of cassis blackberry hard spices and licorice filter into a long mellow classy finish. This is a pushy full-bodied wine that doesn't throw punches; drink through 2020.,Argentina,Malbec
Smoky charred aromas of blackberry and blackened spices set up a bold palate with energy to spare. Blackberry and cassis flavors are rich toasty and chocolaty while the finish on this full-bodied ripe Malbec is lengthy and moderately complex. Drink through 2021.,Argentina,Malbec
Smoky and intense from the get-go this saturated black-as-night Malbec is full of blackberry cassis and gamy aromas. While it goes heavy on the gas the wine's structure is up to it. Flavors of chocolate burnt toast salt and blackberry finish toasty and long with savory blackened spice notes. Drink through 2023.,Argentina,Malbec
Mild berry and cherry aromas are standard and slightly oaky. The palate on this blend of Malbec Merlot Cabernet Sauvignon and Syrah is choppy and tannic while earthy flavors of cherry and plum are pushed by firm acids. This finishes tannic with coffee and herbal flavors.,Argentina,Red Blend
Four years running this wine has scored 87 and been a Best Buy. The bouquet is scratchy but nicely aromatic including hints of spice to go with ripe berry scents. The palate is jammy and home to rooty berry mild spice and very light oak flavors. The finish is a bit hot and fiery which food will tame.,Argentina,Malbec
Intriguing aromas of lavender hoja santa and green tobacco blend nicely with blackberry and blueberry scents. This top-flight Bonarda feels lush and only moderately tannic. Blackberry leather and mild briny flavors finish minty and lightly herbal. Drink now.,Argentina,Bonarda
Sweet oak and vanilla aromas are front and center on a jammy bouquet that also features black plum and blackberry scents. This blend of Malbec Petit Verdot and Tannat feels full lifted and balanced. Ripe enticing flavors of wild berry and cassis are backed by toast chocolate vanilla and coconut notes as well as heat and burn. Drink through 2019.,Argentina,Red Blend
Saucy berry and tea aromas are herbal earthy and stewed. This feels full but syrupy. Flavors of cooked berry molasses and mocha finish sweet and soupy with only a touch of acidic offset.,Argentina,Cabernet Sauvignon
Mushy citrus and papaya aromas are waxy and lack pop. Angular and lemony in feel this varietal white offers a one-note flavor profile based on lemon. A ringing citric finish affords for a hint of tropical fruit.,Argentina,Sémillon
Initial aromas of lychee and jasmine are varietally correct but this struggles to stay fresh and instead turns oily on the nose. A mid-level palate holds nectarine lychee and oily flavors that turn bitter on the finish.,Argentina,Torrontés
Raisiny and earthy on the nose this Bonarda also offers damp aromas of fern and tobacco. Chunky with a soft flat palate this tastes raisiny and stewed. Low acidity and raisiny flavors on the finish are consistent with what came before.,Argentina,Bonarda
Oily gritty aromas of almond skins set up a pungent but oily tasting palate. Core fruit flavors lean towards sour grapefruit and orange while the finish is tangy salty and sour through the last note.,Argentina,Torrontés
Roasted stewed berry aromas are rustic and suggestive of grilled meat. This is high in acidity and thus it feels sharp and edgy. Flavors of forced oak related spice and tart plum end with a scraping tannic feel and herbal berry flavors.,Argentina,Malbec
This is a highly particular funky blend of 85% Malbec and 15% Cabernet. It opens with savory stewy earthy aromas of berry fruits and prune. Due to the 15.5% abv this feels heavy and clampy with rooty flavors of baked berry fruits cola minty herbs and carob. An oaky spicy toasty finish with heat is the closing act on this fully stuffed Salta blend.,Argentina,Red Blend
Oaky smoky aromas are New World all the way. Heavily toasted and creamy on the palate this hefty full-bodied Chardonnay tastes of wood resin spiced apple and peach. Solid acidity keep this in line while a lasting wave of toasty oak pushes the finish.,Argentina,Chardonnay
Flat in color with a dull luster this smells mulchy and earthy with dampness to the nose. A thick medicinal palate is dealing severe tannins embedded into a syrupy texture. Flavors of fig raisin and earth are a little spent.,Argentina,Bordeaux-style Red Blend
Smashed berry aromas are backed by earth and toasty oak notes. Fairly hard and tannic on the palate this shows herbal plum flavors in front of a bold finish with dry tannins and a hint of wood spice.,Argentina,Malbec
Despite looking gold and mature this PG exceeds expectations courtesy of waxy baked-apple aromas and a full but balanced mouthfeel. Spiced apple apricot and burnt orange flavors finish long due to core acidity. Drink immediately.,Argentina,Pinot Gris
Aromas of citrus and petrol are backed by a juicy palate with tangy acidity and semisharp flavors of peach tangerine and stone-fruit pits. Fresh citrusy length and a lingering note of orange are the finish.,Argentina,Sauvignon Blanc
This Malbec is a collection of disparate parts that doesn't justify its price. Reduced plum and grapy berry aromas come with woodsy notes of menthol and cola. Highly herbal saucy savory flavors are more oaky than fruity while this finishes with muscular tannins and savory grapy notes.,Argentina,Malbec
Roasted woodsy rubbery aromas are gamy and staunch with berry notes interspersed. Grabby rubbery tannins make for a rugged palate while roasted plum and gamy flavors are a touch salty. A tannic finish doesn't change much.,Argentina,Malbec
