Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
1,Spain,"Ripe aromas of fig, blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla. This is full, layered, intense and cushioned on the palate, with rich flavors of chocolaty black fruits and baking spices. A toasty, everlasting finish is heady but ideally balanced. Drink through 2023.",Carodorum Selección Especial Reserva,96,110.0,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
5,Spain,"Deep, dense and pure from the opening bell, this Toro is a winner. Aromas of dark ripe black fruits are cool and moderately oaked. This feels massive on the palate but sensationally balanced. Flavors of blackberry, coffee, mocha and toasty oak finish spicy, smooth and heady. Drink this exemplary Toro through 2023.",Numanthia,95,73.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
6,Spain,"Slightly gritty black-fruit aromas include a sweet note of pastry along with a hint of prune. Wall-to-wall saturation ensures that all corners of one's mouth are covered. Flavors of blackberry, mocha and chocolate are highly impressive and expressive, while this settles nicely on a long finish. Drink now through 2024.",San Román,95,65.0,Northern Spain,Toro,,Tinta de Toro,Maurodos
7,Spain,"Lush cedary black-fruit aromas are luxe and offer notes of marzipan and vanilla. This bruiser is massive and tannic on the palate, but still lush and friendly. Chocolate is a key flavor, while baked berry and cassis flavors are hardly wallflowers. On the finish, this is tannic and deep as a sea trench. Drink this saturated black-colored Toro through 2023.",Carodorum Único Crianza,95,110.0,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
22,Spain,"Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023.",Termanthia,95,220.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
175,Spain,"Pleasant red-fruit aromas of cherry and raspberry are low in octane for Toro. A fresh but not overly dense palate is lively and vital, with wild berry, plum and brown sugar flavors. A warm, heady, generous finish is fruity and bright. Drink through 2018.",Gran Bajoz,89,30.0,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey
1703,Spain,"Earthy, ripe, slightly flat aromas of black fruits define the nose on this dense Toro. Soft, mellow, quiet flavors of blackberry and raisin finish rich, loamy and with a note of prune. Drink this ripe, fairly sweet-tasting wine now.",,88,15.0,Northern Spain,Toro,,Tempranillo,Hermanos Lurton
2007,Spain,"Minerally, warm aromas are rustic and savory, with berry power lurking in the backdrop. A full, grabby, tannic palate is meaty in feel, while flavors of blackberry, dark spices, cocoa and herbal notes finish flush and tannic, with ample ripeness.",Joven,87,10.0,Northern Spain,Toro,,Tempranillo,Muruve
2399,Spain,"Grapy aromas seem simple at first, but with time tarry black plum and citrus peel notes emerge. This is very tannic, arguably a bit too much so. Plum, blackberry and chocolate flavors end with a reverb of hard tannins. For best results, give this as much air as possible.",Anzil,89,25.0,Northern Spain,Toro,,Tempranillo,Viña Mayor
2587,Spain,"The nose on this ripe Tinta de Toro is dense, bold and brimming with black-fruit aromas. Following the nose, this tastes of blackberry, cassis and various spices, while finishing black-fruit flavors are lightly herbal, spicy and complex. This offers a touch of everything good, and even more when it comes to ripe fruit. Drink through 2024.",,92,25.0,Northern Spain,Toro,,Tinta de Toro,Vetus
2608,Spain,"Char and wood grain are prominent on a smoky nose with blackberry and black-currant aromas. Intense tannins and layered depth make for a full palate, while this tastes ripe and toasty, with blackberry and chocolate flavors. On the finish, mild herbal complexity mixed with latent oak are stirring. Drink through 2026.",Gran Colegiata Campus,92,80.0,Northern Spain,Toro,,Tinta de Toro,Bodegas Fariña
2620,Spain,"Savory aromas of hickory and slow-cooked meat are highly suggestive of southern barbecue. This feels blocky and tannic, with resiny notes to the palate. Clove, woodsmoke, BBQ sauce and other savory flavors are barrel driven, while the finish registers as dense, roasted and a bit hot.",Roble,87,12.0,Northern Spain,Toro,,Tinta de Toro,Muruve
2792,Spain,"Char and wood grain are prominent on a smoky nose with blackberry and black-currant aromas. Intense tannins and layered depth make for a full palate, while this tastes ripe and toasty, with blackberry and chocolate flavors. On the finish, mild herbal complexity mixed with latent oak are stirring. Drink through 2026.",Gran Colegiata Campus,92,80.0,Northern Spain,Toro,,Tinta de Toro,Bodegas Fariña
2811,Spain,"This massive heavily oaked blend of 94% Tinta de Toro and 6% Garnacha smells like a cross between café mocha and a sawmill, with baking spices thrown in for good measure. The palate is rough and tannic, while oaky flavors of clove dominate blackberry fruit. On the finish, more clove is apparent, while the tannic clamp is severe. Drink through 2024.",Gran Dama de Toro,91,60.0,Northern Spain,Toro,,Tempranillo Blend,Bodegas Fariña
