Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
64,Portugal,"This is a super-ripe, still very young wine. It's showing all its concentrated fruits, wood aging flavors and dense texture as well as the firm tannins that will allow it to age. With its combination of black plum skin, blackberry and dark concentration, leave the wine until 2018.",,91,23.0,Alentejano,,,Portuguese Red,Herdade do Rocim
74,Portugal,"It is the ripe dark Alicante Bouschet that dominates this firmly structured wine. It is packed with tannins along with a hugely dense texture and concentrated juicy berry flavors. It is very firm, still young. Wait until 2017.",Premium,91,15.0,Alentejo,,,Portuguese Red,Adega Cooperativa de Borba
91,Portugal,"The local Baga grape, better known for producing structured red wines, also lends itself to fruity sparkling rosé. Bright acidity gives this crisp wine its tangy, red currant character. Drink now.",Marquês de Marialva Rosé Bruto,86,12.0,Beira Atlantico,,,Baga,Adega de Cantanhede
94,Portugal,"This family-owned estate has produced an immediately attractive entry-level wine. Lightly spiced with wood, it blends Touriga Franca, Tinta Roriz and Tinta Barroca to show black fruit, ripe tannins and bright acidity. Drink now.",Muros de Vinha,86,10.0,Douro,,,Portuguese Red,Quinta do Portal
110,Portugal,"This state-owned estate of forests and vineyards grows organic grapes. This wine, softly structured and ripe has light black fruits and plenty of acidity. An undercurrent of tannin keeps the wine in order and will allow it to age. Drink from 2018.",Companhia das Lezírias Herdade de Catapereiro Single Vineyard,86,12.0,Tejo,,,Portuguese Red,Wines & Winemakers
119,Portugal,"This broad, fruity wine brings out ripe berry flavors in spades. It has generous fruit, soft tannins and a smooth, open texture. Drink now.",Convento da Vila,86,7.0,Alentejano,,,Portuguese Red,Adega Cooperativa de Borba
168,Portugal,"Structured and firm, this is a dry wine with the potential of fine fruit in the future. Acidity cuts through the texture promising the freshness of black currants and berries. It's a perfumed wine that can still age. Drink from 2016.",,89,20.0,Douro,,,Touriga Nacional,Quinta das Carvalhas
210,Portugal,"A big, ripe and spicy wine, this is packed with woody notes as well as powerful fruit. It has solid tannins and dark flavors of bitter chocolate and black cherries. It's rich and concentrated, with good aging potential. Drink from 2018.",Reserva,93,55.0,Douro,,,Portuguese Red,Poças
229,Portugal,"Almost ready to drink, this wood-aged wine is packed with herbs, dark berry fruits and the first signs of secondary spice and leather flavors. The tannins are still powerful and need to soften further, so drink this complex, concentrated wine from 2016.",Quinta dos Quatro Ventos Reserva,93,41.0,Douro,,,Portuguese Red,Caves Aliança
238,Portugal,"Produced from old vines, this is an impressive wine, rich and dense. It brings together dark tannins and opulent black fruits that cushion the firm structure. A lively acidity and a silky character show that the wine is ready to drink.",Dona Maria Reserva,92,40.0,Alentejano,,,Portuguese Red,Dona Maria-Júlio Bastos
277,Portugal,"Pure Alvarinho from the Monção region, it's rich, creamy and textured. Lined with great acidity, it also has intense apple, bitter orange and a strongly herbal element. While it's ready to drink, this complex wine will benefit by waiting until 2015.",Portal do Fidalgo,92,35.0,Vinho Verde,,,Alvarinho,Provam
278,Portugal,"This wood-aged wine comes from a small parcel of old vines in the Quinta Nova vineyard. With its ripe, smooth and creamy texture, it has a full, almost Burgundian feel. Ripe peach combines with vanilla to make a wine that has concentration and richness, cut with final acidity.",Mirabilis Grande Reserva,92,95.0,Douro,,,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
291,Portugal,"Violets, truffles and ripe black fruits are present in this structured wine. It has almost too much richness, but there is plenty to admire. Solid tannins, a dark, heavy texture and complex acidity all show aging potential. Drink from 2018.",,91,18.0,Alentejano,,,Touriga Nacional,Herdade de São Miguel
335,Portugal,"The top wine in the Rocim range is produced from selected Alicante Bouschet grapes. It is huge and powerful, perhaps too much in its concentration, richness and density. Dark and brooding, it is super everything and certainly needs to calm down. Drink from 2019.",Grande Rocim Reserva,91,130.0,Alentejano,,,Alicante Bouschet,Herdade do Rocim
344,Portugal,"A classic northern Rhône valley blend of Syrah with a touch of Viognier, this massive wine is made from grapes grown on granite soil, which leaves its mark in dense minerality and great power. It is a wine for lovers of the big stuff, concentrated and needing to age. Drink from 2018.",Telhas,91,30.0,Alentejano,,,Rhône-style Red Blend,Terras de Alter
345,Portugal,"This is a rich, full-bodied wine that is ready to drink now. It still has a dry core of tannins, although they are overwhelmed by the rich, juicy black fruits and generous texture. It's a concentrated wine, high in alcohol, although that is really balanced by the fresh aftertaste.",Terra d'Alter,91,14.0,Alentejano,,,Aragonês,Terras de Alter
353,Portugal,"A Garrafeira wine is a special selection and this wine, which was aged for 30 months after bottling before being released, shows its quality quickly. Now reaching drinkability, its tannins have softened leaving rich full black currant and fresh acidity along with a more mature leathery character. Drink now and until 2020.",Garrafeira,91,42.0,Alentejo,,,Portuguese Red,Adega Cooperativa de Borba
450,Portugal,"Young Touriga Nacional vines produced this crisp, refreshing wine. With red currant flavor and a light touch of caramel, it's both fruity and full in the mouth. Drink now.",Superior,86,15.0,Douro,,,Rosé,Colinas do Douro
454,Portugal,"This wine is full of red berry flavor and soft tannins. With its forward fruit and smooth texture, it's made to be drunk young, so drink now.",Conde Vimioso Colheita Seleccionada,86,10.0,Tejo,,,Portuguese Red,Falua
457,Portugal,"This wine is produced from two of the quintas owned by Ramos-Pinto. It's fruity and crisp, packed with bright fruit and lively acidity, and finishes on tangy citrus with a riper, creamy texture. Drink from late 2017.",Duas Quintas Branco,86,12.0,Douro,,,Portuguese White,Ramos-Pinto
471,Portugal,"This is a young, fruity wine made for early drinking. With bright acidity, soft tannins and forward red fruit, it's easy-drinking and ready now.",Portal da Vinha,86,15.0,Alentejano,,,Portuguese Red,Companhia das Quintas
473,Portugal,"Tasting strongly of spicy wood, this wine is firm, with a tight, granitic texture. Tannins and acidity anchor its blackberry fruit, yielding a structured wine that is ready to drink.",Cabriz,86,13.0,Dão,,,Touriga Nacional,Global Wines
478,Portugal,"This wine comes from the northern reaches of Tejo, giving it a structured, cool and bright, fruity character. Juicy acidity cuts through its tannins and black plum flavor. Needing a few more months of bottle age, it will be ready to drink in 2018.",Oculto,86,,Tejo,,,Portuguese Red,Quinta do Arrobe
479,Portugal,"This is a fashionably pale rosé, as light and bright in color as it is on the palate. Fruity, attractive and ready to drink, it has zesty orange peel and crisp wild strawberry flavors.",,86,30.0,Douro,,,Portuguese Rosé,Quinta Nova de Nossa Senhora do Carmo
495,Portugal,A palate of exotic perfumes with layers of dark chocolate and dense tannins certainly give this wine great power. It is dark and brooding—almost too much in the intensity of its flavors and structure. It's going to remain a big beast as it ages. Drink from 2017.,,89,45.0,Duriense,,,Syrah,Quinta da Romaneira
512,Portugal,"Rui Madeira's flagship red is a formidable, powerful wine. It has intense tannins that are surrounded by dark fruits and rich, juicy acidity. The core is dry, concentrated and dense, and the wood aging shows against the background of ripe fruits, promising good aging potential. Drink from 2018.",Vinhas Velhas Grande Reserva,92,23.0,Douro,,,Portuguese Red,Castello d'Alba
519,Portugal,"A solid, firm wine with a great rapport between the black berry fruits, juicy acidity and dark tannins. It has a fresh element along with a powerful structure and dense mineral texture. It will age well, so drink from 2017.",,92,70.0,Douro,,,Portuguese Red,Quinta da Romaneira
521,Portugal,"This is a rich, full-bodied and wood-aged wine, produced from vines in the village of Panasqueira. It has herbal and mint flavors, with black fruit tones powered by structured tannins. It is impressive, ripe, and still maturing. Best after 2016.",Vinha Pan,92,40.0,Beiras,,,Baga,Luis Pato
534,Portugal,"From a small parcel of land on the slopes of the Serra de Aire hills, this firm textured, cool-climate wine shows structure and depth. The fruit weight is concentrated with plum and juicy black currant flavors, rotating around a dry core of tannins. Age this complex wine and drink after 2015.",Vale de Mata,92,23.0,Lisboa,,,Portuguese Red,Herdade do Rocim
603,Portugal,"With strong wood-aging flavors, this is a full, very ripe and concentrated wine. Coming from old vines, it has depth of flavor, both fruity and rich. Peach and pear flavors dominate, along with spice from wood aging. The wine needs some aging, so drink from 2015.",Lua Cheia em Vinhas Velhas Reserva,91,19.0,Douro,,,Portuguese White,Wines & Winemakers
613,Portugal,"This wine is full of fruit, dusty tannins and great structure. A smooth surface covers the complex, juicy black fruits, dense tannins and mineral texture. This wine will certainly age, so don't drink before 2017.",Olho de Mocho Reserva,91,,Alentejano,,,Portuguese Red,Herdade do Rocim
628,Portugal,"This complex, mature wine has plenty of red fruit flavors, but its main character displays concentrated, tannin and spice. Hints of leather and rich acidity add their notes to this dense, dusty wine. It is ready to drink although it will still mature until 2020.",Cabriz Reserva,91,16.0,Dão,,,Portuguese Red,Dão Sul
