,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Titulos
0,DuckTales: Remastered,PC,2013,Action,Capcom,0,10000,0,67,0,9,46
1,Resident Evil Director's Cut,PS3,2006,Action,Capcom,0,0,50000,83,0,12,170
2,Dead Rising 2: Off the Record,PC,2011,Action,Capcom,40000,20000,0,64,0,9,28
3,Bombastic,PS2,2002,Puzzle,Capcom,30000,20000,0,51,5,11,10
4,Mega Man Battle Network,GBA,2001,Role-Playing,Capcom,140000,50000,220000,82,7,4,90
5,Remember Me,PC,2013,Action,Capcom,0,50000,0,76,0,9,156
6,Street Fighter X Tekken,X360,2012,Fighting,Capcom,310000,100000,30000,42,2,20,205
7,Mega Man 3,NES,1990,Platform,Capcom,680000,100000,390000,52,4,8,82
8,Sengoku Basara 3 Utage,Wii,2011,Action,Capcom,0,0,130000,66,0,18,186
9,Mega Man X8,PS2,2004,Platform,Capcom,140000,110000,0,83,4,11,109
10,Devil May Cry 4,PS3,2008,Action,Capcom,580000,450000,340000,56,0,12,33
11,Monster Hunter Frontier Online: Forward 1,X360,2011,Role-Playing,Capcom,0,0,30000,49,7,20,127
12,Darkstalkers Resurrection,PS3,2013,Fighting,Capcom,0,0,30000,97,2,12,25
13,Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,100000,20000,0,88,7,5,110
14,Sengoku Basara 3 Utage,PS3,2011,Action,Capcom,0,0,220000,69,0,12,186
15,Mega Man & Bass,GBA,2002,Platform,Capcom,160000,60000,0,43,4,4,80
16,Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,130000,30000,60000,97,0,18,168
17,Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,0,30000,0,84,0,9,176
18,Mega Man Legends 2,PS,2000,Adventure,Capcom,170000,120000,100000,61,1,10,96
19,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,680000,140000,350000,88,4,8,39
20,God Hand,PS2,2006,Action,Capcom,0,0,70000,51,0,11,58
21,Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,80000,68,7,13,44
22,OkamiDen,DS,2010,Adventure,Capcom,210000,60000,130000,53,1,2,142
23,Resident Evil Chronicles HD,PS3,2012,Shooter,Capcom,0,0,90000,96,8,12,169
24,Neopets Puzzle Adventure,DS,2008,Puzzle,Capcom,260000,0,0,75,5,2,140
25,Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007,Fighting,Capcom,0,0,10000,58,2,11,194
26,Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,160000,92,1,4,64
27,MotoGP,Wii,2009,Racing,Capcom,50000,110000,0,86,6,18,134
28,Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom,0,0,20000,45,0,13,182
29,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,670000,430000,290000,58,0,18,181
30,Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,Fighting,Capcom,0,0,100000,63,2,18,208
31,Sengoku Basara 4: Sumeragi,PS4,2015,Action,Capcom,0,0,50000,83,0,13,188
