Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score
DuckTales: Remastered,PC,2013.0,Action,Capcom,0,10000,0,67
Resident Evil Director's Cut,PS3,2006.0,Action,Capcom,0,0,50000,83
Dead Rising 2: Off the Record,PC,2011.0,Action,Capcom,40000,20000,0,64
Bombastic,PS2,2002.0,Puzzle,Capcom,30000,20000,0,51
Mega Man Battle Network,GBA,2001.0,Role-Playing,Capcom,140000,50000,220000,82
Remember Me,PC,2013.0,Action,Capcom,0,50000,0,76
Street Fighter X Tekken,X360,2012.0,Fighting,Capcom,310000,100000,30000,42
Mega Man 3,NES,1990.0,Platform,Capcom,680000,100000,390000,52
Sengoku Basara 3 Utage,Wii,2011.0,Action,Capcom,0,0,130000,66
Mega Man X8,PS2,2004.0,Platform,Capcom,140000,110000,0,83
Devil May Cry 4,PS3,2008.0,Action,Capcom,580000,450000,340000,56
Monster Hunter Frontier Online: Forward 1,X360,2011.0,Role-Playing,Capcom,0,0,30000,49
Darkstalkers Resurrection,PS3,2013.0,Fighting,Capcom,0,0,30000,97
Mega Man X: Command Mission,GC,2004.0,Role-Playing,Capcom,100000,20000,0,88
Sengoku Basara 3 Utage,PS3,2011.0,Action,Capcom,0,0,220000,69
Mega Man & Bass,GBA,2002.0,Platform,Capcom,160000,60000,0,43
Resident Evil Archives: Resident Evil Zero,Wii,2008.0,Action,Capcom,130000,30000,60000,97
Resident Evil: Operation Raccoon City,PC,2012.0,Action,Capcom,0,30000,0,84
Mega Man Legends 2,PS,2000.0,Adventure,Capcom,170000,120000,100000,61
Disney's Chip 'n Dale: Rescue Rangers,NES,1990.0,Platform,Capcom,680000,140000,350000,88
God Hand,PS2,2006.0,Action,Capcom,0,0,70000,51
Dragon's Dogma Online,PS4,2015.0,Role-Playing,Capcom,0,0,80000,68
OkamiDen,DS,2010.0,Adventure,Capcom,210000,60000,130000,53
Resident Evil Chronicles HD,PS3,2012.0,Shooter,Capcom,0,0,90000,96
Neopets Puzzle Adventure,DS,2008.0,Puzzle,Capcom,260000,0,0,75
Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007.0,Fighting,Capcom,0,0,10000,58
Gyakuten Saiban 3,GBA,2004.0,Adventure,Capcom,0,0,160000,92
MotoGP,Wii,2009.0,Racing,Capcom,50000,110000,0,86
Resident Evil: Umbrella Corps,PS4,2016.0,Action,Capcom,0,0,20000,45
Resident Evil: The Umbrella Chronicles,Wii,2007.0,Action,Capcom,670000,430000,290000,58
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008.0,Fighting,Capcom,0,0,100000,63
Sengoku Basara 4: Sumeragi,PS4,2015.0,Action,Capcom,0,0,50000,83
Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,410000,440000,720000,49
Mega Man Legacy Collection,3DS,2016.0,Platform,Capcom,140000,0,50000,93
Monster Hunter Freedom,PSP,2005.0,Role-Playing,Capcom,240000,30000,1030000,92
UN Squadron,SNES,1991.0,Shooter,Capcom,0,0,120000,65
Ultimate Marvel vs. Capcom 3,PSV,2011.0,Fighting,Capcom,170000,80000,0,50
Mega Man Soccer,SNES,1993.0,Sports,Capcom,40000,10000,130000,42
E.X. Troopers,3DS,2012.0,Shooter,Capcom,0,0,70000,68
Mega Man Powered Up,PSP,2006.0,Platform,Capcom,120000,10000,0,69
Ace Attorney Investigations 2,DS,2011.0,Adventure,Capcom,0,0,260000,63
Marvel Super Heroes,SAT,1997.0,Fighting,Capcom,0,0,60000,68
Ultimate Marvel vs. Capcom 3,PS3,2011.0,Fighting,Capcom,0,40000,40000,52
Mega Man 6,NES,1993.0,Platform,Capcom,280000,70000,160000,49
Sengoku Basara 2 Heroes,PS2,2007.0,Action,Capcom,0,0,200000,84
Harvey Birdman: Attorney at Law,PSP,2008.0,Adventure,Capcom,90000,0,0,44
Disney's Aladdin,SNES,1993.0,Platform,Capcom,940000,340000,210000,41
Resident Evil 2: Dual Shock Edition,PS,1998.0,Action,Capcom,0,0,260000,60
Resident Evil Outbreak File #2,PS2,2004.0,Action,Capcom,190000,150000,170000,63
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,130000,240000,100000,100
Maximo vs Army of Zin,PS2,2003.0,Platform,Capcom,100000,80000,0,86
Mega Man X6,PS,2001.0,Action,Capcom,140000,100000,160000,81
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2470000,830000,2870000,81
Ace Attorney 6,3DS,2016.0,Adventure,Capcom,0,0,270000,81
Monster Hunter Freedom 2,PS3,2011.0,Role-Playing,Capcom,0,0,500000,52
Mega Man Zero,GBA,2002.0,Platform,Capcom,220000,80000,240000,86
Mega Man Zero Collection,DS,2010.0,Platform,Capcom,170000,10000,110000,90
Street Fighter Alpha: Warriors' Dreams,SAT,1996.0,Fighting,Capcom,0,0,350000,60
Crimson Tears,PS2,2004.0,Role-Playing,Capcom,20000,10000,0,90
Resident Evil Zero,PC,2016.0,Action,Capcom,10000,10000,0,99
Resident Evil 4 HD,PS4,2016.0,Shooter,Capcom,40000,0,0,72
Mega Man X7,PS2,2003.0,Action,Capcom,220000,170000,140000,91
Resident Evil: Outbreak,PS2,2003.0,Action,Capcom,540000,350000,460000,100
Phoenix Wright: Ace Attorney Trilogy,3DS,2014.0,Adventure,Capcom,0,0,20000,79
MotoGP 07,PS2,2007.0,Racing,Capcom,50000,40000,0,76
