Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score
Rapala Trophies,PSP,2006.0,Sports,Activision,40000,0,0,47
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2300000,1340000,1270000,82
Robots,PS2,2005.0,Action,Vivendi Games,180000,140000,0,93
Hamster Club 3,GBA,2002.0,Simulation,Jorudan,0,0,350000,66
Formula 1 06,PS2,2006.0,Racing,Sony Computer Entertainment,0,0,40000,71
My Ballet Studio,Wii,2009.0,Simulation,505 Games,20000,0,0,61
EVE Online,PC,2003.0,Role-Playing,CCP,0,190000,0,74
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007.0,Shooter,THQ,10000,40000,0,54
Madden NFL 2003,XB,2002.0,Sports,Electronic Arts,670000,20000,0,75
Shin Super Robot Taisen,PS,1996.0,Role-Playing,Banpresto,0,0,520000,69
Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,620000,560000,0,85
Pro Yaky? Spirits 2012,PSV,2012.0,Sports,Konami Digital Entertainment,0,0,60000,87
Devil's Third,WiiU,2015.0,Action,Nintendo,40000,20000,0,73
Space Chimps,PS2,2008.0,Platform,Brash Entertainment,60000,50000,0,61
Blades of Time,PS3,2012.0,Action,Konami Digital Entertainment,40000,30000,10000,44
Cold Winter,PS2,2005.0,Shooter,Vivendi Games,60000,40000,0,90
Robot Alchemic Drive,PS2,2002.0,Action,Enix Corporation,30000,30000,0,44
Astro Boy,PS2,2004.0,Action,Sega,40000,30000,0,67
ESPN NBA Basketball,PS2,2003.0,Sports,Sega,260000,210000,0,85
Akiba's Trip: Undead & Undressed,PS3,2013.0,Action,Nippon Ichi Software,50000,10000,40000,41
Dream C Club Zero,X360,2011.0,Simulation,D3Publisher,0,0,30000,67
Kingdom Hearts Re: Chain of Memories,PS2,2008.0,Role-Playing,Square Enix,730000,30000,0,67
Virtua Tennis 2009,X360,2009.0,Sports,Sega,120000,180000,0,68
Legend of Kay Anniversary,PS4,2015.0,Action,Nordic Games,0,20000,0,61
Crash Bandicoot: The Huge Adventure,GBA,2002.0,Platform,Universal Interactive,950000,700000,0,61
PDC World Championship Darts 2009,Wii,2009.0,Sports,Oxygen Interactive,0,10000,0,43
Dengeki Bunko Fighting Climax,PS3,2014.0,Fighting,Sega,50000,0,90000,55
Ratatouille,PSP,2007.0,Action,THQ,220000,270000,0,99
Call of Duty: Ghosts,XOne,2013.0,Shooter,Activision,1880000,770000,0,60
Super Famista 3,SNES,1994.0,Sports,Namco Bandai Games,0,0,390000,76
Tiger Woods PGA Tour 2004,PS2,2003.0,Sports,Electronic Arts,1180000,340000,0,89
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015.0,Action,Namco Bandai Games,0,0,110000,90
Virtual Chess 64,N64,1998.0,Misc,Titus,50000,10000,0,75
wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1570000,1020000,0,73
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009.0,Strategy,Electronic Arts,140000,150000,0,80
Cabela's North American Adventures,PS2,2010.0,Sports,Activision,40000,30000,0,87
My Street,PS2,2003.0,Misc,Sony Computer Entertainment,120000,90000,0,79
RealSports Tennis,2600,1982.0,Sports,Atari,460000,30000,0,68
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008.0,Action,LucasArts,1210000,300000,0,67
Max Payne,XB,2001.0,Shooter,Take-Two Interactive,980000,190000,0,52
Tsuyo Kiss 2 Portable,PSP,2010.0,Adventure,NetRevo,0,0,20000,87
Twisted Metal (2012),PS3,2012.0,Action,Sony Computer Entertainment,670000,70000,0,48
Cabela's Trophy Bucks,Wii,2008.0,Sports,Activision Value,60000,0,0,100
Driv3r,PS2,2004.0,Racing,Atari,600000,470000,0,57
Tokimeki Memorial 4,PSP,2009.0,Adventure,Konami Digital Entertainment,0,0,80000,100
World Soccer Winning Eleven 7 International,PS2,2003.0,Sports,Konami Digital Entertainment,80000,1240000,1130000,56
J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0,0,690000,74
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1620000,770000,2780000,98
