Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
Rapala Trophies,PSP,2006,Sports,Activision,40000,0,0,47,10,18,21,5892
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2300000,1340000,1270000,82,4,26,329,5160
Robots,PS2,2005,Action,Vivendi Games,180000,140000,0,93,0,15,492,6107
Hamster Club 3,GBA,2002,Simulation,Jorudan,0,0,350000,66,9,6,241,2965
Formula 1 06,PS2,2006,Racing,Sony Computer Entertainment,0,0,40000,71,6,15,414,2490
My Ballet Studio,Wii,2009,Simulation,505 Games,20000,0,0,61,9,25,6,4759
EVE Online,PC,2003,Role-Playing,CCP,0,190000,0,74,7,13,78,2055
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,Shooter,THQ,10000,40000,0,54,8,13,442,6214
Madden NFL 2003,XB,2002,Sports,Electronic Arts,670000,20000,0,75,10,28,131,4156
Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,0,0,520000,69,7,14,61,6526
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,620000,560000,0,85,0,29,474,382
Pro Yaky? Spirits 2012,PSV,2012,Sports,Konami Digital Entertainment,0,0,60000,87,10,19,254,5740
Devil's Third,WiiU,2015,Action,Nintendo,40000,20000,0,73,0,26,329,1595
Space Chimps,PS2,2008,Platform,Brash Entertainment,60000,50000,0,61,4,15,74,6810
Blades of Time,PS3,2012,Action,Konami Digital Entertainment,40000,30000,10000,44,0,16,254,684
Cold Winter,PS2,2005,Shooter,Vivendi Games,60000,40000,0,90,8,15,492,1193
Robot Alchemic Drive,PS2,2002,Action,Enix Corporation,30000,30000,0,44,0,15,136,6099
Astro Boy,PS2,2004,Action,Sega,40000,30000,0,67,0,15,406,398
ESPN NBA Basketball,PS2,2003,Sports,Sega,260000,210000,0,85,10,15,406,2048
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,50000,10000,40000,41,0,16,332,189
