Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
2006,40000,0,0,47,10,18,21,5892
2012,2300000,1340000,1270000,82,4,26,329,5160
2005,180000,140000,0,93,0,15,492,6107
2002,0,0,350000,66,9,6,241,2965
2006,0,0,40000,71,6,15,414,2490
2009,20000,0,0,61,9,25,6,4759
2003,0,190000,0,74,7,13,78,2055
2007,10000,40000,0,54,8,13,442,6214
2002,670000,20000,0,75,10,28,131,4156
1996,0,0,520000,69,7,14,61,6526
2015,620000,560000,0,85,0,29,474,382
2012,0,0,60000,87,10,19,254,5740
2015,40000,20000,0,73,0,26,329,1595
2008,60000,50000,0,61,4,15,74,6810
2012,40000,30000,10000,44,0,16,254,684
2005,60000,40000,0,90,8,15,492,1193
2002,30000,30000,0,44,0,15,136,6099
2004,40000,30000,0,67,0,15,406,398
2003,260000,210000,0,85,10,15,406,2048
2013,50000,10000,40000,41,0,16,332,189
2011,0,0,30000,67,9,27,104,1926
2008,730000,30000,0,67,7,15,422,3772
2009,120000,180000,0,68,10,27,406,8229
2015,0,20000,0,61,0,17,337,3932
2002,950000,700000,0,61,4,6,477,1281
2009,0,10000,0,43,10,25,348,5356
2014,50000,0,90000,55,2,16,406,1540
2007,220000,270000,0,99,0,18,442,5899
2013,1880000,770000,0,60,8,29,21,950
1994,0,0,390000,76,10,22,317,7106
2003,1180000,340000,0,89,10,15,131,7792
2015,0,0,110000,90,0,2,317,7187
1998,50000,10000,0,75,3,10,461,8235
2016,1570000,1020000,0,73,2,15,442,8779
2009,140000,150000,0,80,11,16,131,1219
2010,40000,30000,0,87,10,15,21,927
2003,120000,90000,0,79,3,15,414,4784
1982,460000,30000,0,68,10,0,51,5956
2008,1210000,300000,0,67,0,25,264,6946
2001,980000,190000,0,52,8,28,448,4312
2010,0,0,20000,87,1,18,322,8048
2012,670000,70000,0,48,0,16,414,8067
2008,60000,0,0,100,10,25,23,932
2004,600000,470000,0,57,6,15,51,1949
2009,0,0,80000,100,1,18,254,7832
2003,80000,1240000,1130000,56,10,15,254,8510
1993,0,0,690000,74,10,22,317,3383
2000,1620000,770000,2780000,98,7,14,423,2395
2004,20000,10000,0,45,8,15,317,6225
2010,0,0,30000,85,9,18,157,344
2008,150000,20000,0,67,2,27,131,2249
1980,1070000,70000,0,81,3,0,21,3614
2003,50000,10000,0,42,9,28,254,3578
2002,40000,10000,0,54,10,7,492,8382
2013,0,10000,0,67,0,13,82,1968
2008,220000,200000,10000,61,8,27,104,1438
2005,130000,40000,0,80,3,28,317,5041
2006,0,0,50000,83,0,16,82,6011
2003,420000,60000,0,50,6,28,448,4495
2002,190000,50000,0,54,10,28,131,8025
2001,1250000,390000,0,86,5,6,442,7420
2016,10000,0,0,64,0,29,21,5773
2009,50000,0,0,58,10,4,6,1730
2015,50000,60000,0,52,0,2,21,6681
2011,20000,0,0,94,10,25,473,1125
2005,140000,0,0,58,7,18,414,3779
2007,20000,0,0,52,4,13,21,6838
2004,390000,1010000,20000,92,0,15,414,7499
2003,10000,0,0,88,8,7,226,4424
1998,0,0,80000,87,0,3,406,2764
2013,160000,20000,0,58,10,29,131,4888
2000,240000,190000,340000,56,0,15,442,2002
2005,490000,140000,0,73,8,28,474,824
2007,40000,10000,0,75,0,25,448,2302
2010,0,0,40000,62,10,16,452,8438
2013,280000,170000,0,81,10,16,131,4991
2013,220000,130000,0,55,0,4,495,3894
2008,0,0,10000,97,3,4,62,3732
2010,310000,230000,0,74,2,27,474,2373
2006,330000,100000,0,85,0,28,131,7503
2011,610000,380000,0,58,0,4,264,3903
2006,120000,0,0,56,3,25,436,5532
2003,10000,0,0,75,8,7,4,354
2014,0,0,170000,73,10,16,254,3506
2010,0,0,250000,41,3,18,406,3610
2016,0,20000,0,62,10,27,31,6187
2010,0,0,30000,49,7,18,332,1147
1993,0,0,1170000,43,7,22,423,6162
1995,0,0,300000,80,3,5,329,2649
2013,0,0,40000,60,10,18,406,3392
2009,0,0,60000,79,2,15,128,4418
2010,240000,90000,10000,72,0,27,474,7868
1999,40000,30000,0,80,0,14,461,3311
2000,90000,60000,0,48,6,14,484,5621
2002,50000,40000,0,57,10,15,499,7921
2011,250000,0,0,83,3,27,21,8453
1998,0,0,80000,90,1,20,406,1518
2012,0,130000,0,63,1,13,108,1553
2012,900000,190000,0,49,3,27,474,3591
2009,15610000,10930000,3280000,86,10,25,329,8401
2011,190000,0,0,93,3,27,442,8645
2003,30000,10000,0,43,3,6,21,125
2002,230000,180000,200000,77,7,15,51,5
2002,0,10000,0,50,11,13,296,3302
2003,130000,50000,0,98,10,6,131,7792
1992,6160000,2040000,2690000,73,1,5,329,7129
2012,0,10000,0,55,0,4,121,808
2007,50000,40000,0,66,0,15,130,3146
2004,30000,20000,0,73,6,15,144,5686
2002,0,0,50000,81,7,28,53,6500
2010,0,480000,0,96,4,16,478,6772
2014,0,0,20000,62,1,19,7,6104
2005,530000,460000,0,79,6,28,131,5120
1998,130000,90000,0,50,4,14,342,4043
2012,130000,20000,60000,40,1,2,329,6848
2002,210000,60000,0,61,10,28,21,7024
2002,70000,20000,0,97,0,28,442,5152
2016,0,10000,0,51,11,13,337,560
2010,190000,0,0,73,10,25,21,927
2004,240000,50000,0,65,3,28,298,4502
2005,70000,20000,0,82,6,28,448,2481
2014,0,10000,0,67,3,17,474,5854
2003,70000,60000,160000,75,9,15,27,347
2009,100000,120000,0,71,1,4,474,3296
2011,70000,80000,0,73,6,2,88,2199
2009,210000,50000,0,79,0,16,21,4657
2001,520000,400000,40000,82,10,15,131,4892
2014,80000,60000,0,93,1,29,454,7735
2007,360000,20000,0,84,8,27,492,7806
2014,730000,500000,10000,87,0,29,495,4492
2011,580000,210000,790000,72,4,25,329,3803
2004,1930000,1220000,30000,58,8,15,264,6948
2003,40000,10000,0,46,10,7,51,6038
1999,20000,10000,0,100,7,14,452,1516
2007,0,0,60000,46,7,15,452,3782
2003,0,0,440000,46,3,15,317,7291
2009,70000,0,0,64,3,25,474,7344
2015,0,30000,0,80,0,13,21,7991
2007,200000,160000,0,65,0,15,121,5543
2000,140000,110000,190000,44,5,15,414,2307
1996,30000,20000,0,81,1,14,378,1117
1993,0,0,90000,82,8,22,254,3962
2010,60000,10000,0,91,8,25,406,2906
2014,150000,90000,0,57,0,2,478,8113
2014,0,0,110000,72,7,2,317,7325
2009,20000,0,0,63,11,25,115,2529
2011,0,0,60000,56,1,18,104,8245
2007,100000,170000,0,72,0,18,131,3004
2014,20000,20000,70000,70,0,19,452,1517
2010,0,0,70000,99,3,18,210,4593
2003,0,0,360000,98,1,6,422,6692
2007,130000,150000,0,81,0,16,442,1229
2014,160000,120000,0,80,8,27,6,6715
2009,190000,0,0,93,3,4,448,5164
2015,200000,110000,0,48,0,29,121,1671
2014,0,0,10000,57,1,19,215,653
2003,100000,40000,0,87,8,6,131,3418
2007,60000,50000,40000,76,2,15,11,315
2004,440000,160000,0,52,4,6,188,1791
2006,130000,100000,0,64,10,15,298,4101
2004,0,10000,0,91,10,13,406,2466
2007,60000,0,310000,80,9,4,51,7328
2009,190000,0,30000,81,7,18,195,4059
1999,0,0,160000,92,11,14,317,6805
2007,480000,1120000,0,57,5,4,329,5461
2009,0,0,30000,74,1,4,254,7833
